species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
stranded kokanee,Oncorhynchus nerka,Salmonidae,freshwater,Canada,88,25,28,Y,,LC,piscivory; invertivory,anadromous,183.5,,North American Journal of Fisheries Management,1.1,Algera et al. 2020,
bull trout,Salvelinus confluentus,Salmonidae,freshwater,Canada,99,32,32,Y,,VU,filter feeder; inventivory,anadromous,627.5,adult,River Research and Applications,2.2,Harrison et al. 2020,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,39,14,36,N,,NE,piscivory; invertivory,resident,791,adult,River Research and Applications,2.2,Harrison et al. 2020,
bigmouth buffalo,Ictiobus cyprinellus,Catostomidae,freshwater,Canada,80,,,N,,LC,filter feeder,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
channel catfish,Ictalurus punctatus,Ictaluridae,freshwater,Canada,161,,,N,,LC,piscivory; invertivory,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
common carp,Cyprinus carpio,Cyprinidae,freshwater,Canada,40,,,N,,VU,invertivory,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
freshwater drum,Aplodinotus grunniens,Sciaenidae,freshwater,Canada,81,,,N,,LC,piscivory; invertivory,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,Canada,44,,,Y,,EN,invertivory,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
walleye,Sander vitreus,Percidae,freshwater,Canada,357,,,N,,LC,piscivory,resident,,,Remote Sensing in Ecology and Conservation,5.5,Hansen et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,Canada,30,30,100,Y,,EN,invertivory,resident,274,,North American Journal of Fisheries Management,1.1,Lacho et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,Canada,33,30,91,Y,,EN,invertivory,resident,1075,adult,"Estuarine, Coastal and Shelf Science",2.8,Guenard et al. 2020,
white perch,Morone americana,Moronidae,freshwater,Canada,15,12,80,N,,LC,invertivory,resident,225,adult,"Estuarine, Coastal and Shelf Science",2.8,Guenard et al. 2020,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Canada,50,42,84,N,,NE,piscivory; invertivory,anadromous,205.5,juvenile,Animal Biotelemetry,2.7,Rechisky et al. 2020,
walleye,Sander vitreus,Percidae,freshwater,Canada,851,,,N,,LC,piscivory,resident,583,adult,Journal of Great Lakes Research,2.2,Matley et al. 2020,
bloater,Coregonus hoyi,Salmonidae,freshwater,Canada,74,70,95,,,VU,invertivory,resident,518,,Freshwater Biology,3.5,Klinard et al. 2020,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,Canada,103,,,Y,,VU,invertivory,anadromous,1345,,Animal Biotelemetry,2.7,Lilly et al. 2020,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,100,96,96,N,,LC,piscivory; invertivory,anadromous,,juvenile,Freshwater Biology,3.5,Larocque et al. 2020,
arctic cod,Boreogadus saida,Gadidae,marine,Canada,85,77,91,,,NE,piscivory; invertivory,resident,199,,Ecological Applications,5,Ivanova et al. 2020,
white sturgeon,Acipenser transmontanus,Acipenseridae,freshwater,Canada,60,57,95,Y,,VU,piscivory; invertivory,anadromous,1956,adult; juveniles,Comparative Biochemistry and Physiology - Part A: Molecular and Integrative Physiology,2.3,McLean et al. 2020,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,28,26,93,N,,LC,piscivory; invertivory,anadromous,701,adult,Marine Ecology Progress Series,2.6,Harris et al. 2020,
sockeye salmon,Oncorhynchus nerka,Salmonidae,freshwater,Canada,151,,,Y,,LC,piscivory; invertivory,anadromous,130.5,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Bass et al. 2020,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Canada,62,50,81,N,,NE,piscivory; invertivory,anadromous,498,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Roloson et al. 2020,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,Canada,368,27,7,Y,,VU,invertivory,anadromous,,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Kazyak et al. 2020,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,190,185,97,N,,LC,piscivory; invertivory,anadromous,389,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Mulder et al. 2020,
